step:100 smpl:2K ep:10 epch:0.16 loss:1089.237 grdn:745.354 lr:1.3e-05 updt_s:0.422 data_s:0.068 smp/s:49 mem_gb:6.28 losses_after_forward:1088.680 losses_after_in_ep_bound:983.146 losses_after_rm_padding:983.146
step:6K smpl:146K ep:587 epch:9.79 loss:0.037 grdn:5.092 lr:5.1e-05 updt_s:0.461 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.044 losses_after_in_ep_bound:0.033 losses_after_rm_padding:0.033
step:6K smpl:149K ep:597 epch:9.95 loss:0.038 grdn:5.278 lr:4.9e-05 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.045 losses_after_in_ep_bound:0.034 losses_after_rm_padding:0.034
step:6K smpl:151K ep:607 epch:10.11 loss:0.037 grdn:5.501 lr:4.8e-05 updt_s:0.455 data_s:0.019 smp/s:51 mem_gb:6.24 losses_after_forward:0.043 losses_after_in_ep_bound:0.033 losses_after_rm_padding:0.033
step:6K smpl:154K ep:616 epch:10.27 loss:0.036 grdn:5.632 lr:4.7e-05 updt_s:0.461 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.043 losses_after_in_ep_bound:0.033 losses_after_rm_padding:0.033
step:6K smpl:156K ep:626 epch:10.43 loss:0.033 grdn:4.847 lr:4.6e-05 updt_s:0.462 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.040 losses_after_in_ep_bound:0.030 losses_after_rm_padding:0.030
step:7K smpl:158K ep:636 epch:10.59 loss:0.036 grdn:5.562 lr:4.4e-05 updt_s:0.461 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.041 losses_after_in_ep_bound:0.032 losses_after_rm_padding:0.032
step:7K smpl:161K ep:645 epch:10.75 loss:0.034 grdn:5.081 lr:4.3e-05 updt_s:0.460 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.041 losses_after_in_ep_bound:0.031 losses_after_rm_padding:0.031
step:7K smpl:163K ep:655 epch:10.91 loss:0.032 grdn:5.269 lr:4.2e-05 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.038 losses_after_in_ep_bound:0.029 losses_after_rm_padding:0.029
step:7K smpl:166K ep:664 epch:11.07 loss:0.033 grdn:5.533 lr:4.0e-05 updt_s:0.456 data_s:0.018 smp/s:51 mem_gb:6.24 losses_after_forward:0.039 losses_after_in_ep_bound:0.030 losses_after_rm_padding:0.030
step:7K smpl:168K ep:674 epch:11.23 loss:0.031 grdn:5.401 lr:3.9e-05 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.038 losses_after_in_ep_bound:0.028 losses_after_rm_padding:0.028
step:7K smpl:170K ep:684 epch:11.39 loss:0.031 grdn:5.663 lr:3.8e-05 updt_s:0.461 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.037 losses_after_in_ep_bound:0.027 losses_after_rm_padding:0.027
step:7K smpl:173K ep:693 epch:11.56 loss:0.029 grdn:5.071 lr:3.7e-05 updt_s:0.461 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.036 losses_after_in_ep_bound:0.026 losses_after_rm_padding:0.026
step:7K smpl:175K ep:703 epch:11.72 loss:0.029 grdn:4.797 lr:3.6e-05 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.035 losses_after_in_ep_bound:0.026 losses_after_rm_padding:0.026
step:7K smpl:178K ep:713 epch:11.88 loss:0.031 grdn:5.092 lr:3.4e-05 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.036 losses_after_in_ep_bound:0.028 losses_after_rm_padding:0.028
step:8K smpl:180K ep:722 epch:12.04 loss:0.029 grdn:5.906 lr:3.3e-05 updt_s:0.456 data_s:0.018 smp/s:51 mem_gb:6.24 losses_after_forward:0.035 losses_after_in_ep_bound:0.027 losses_after_rm_padding:0.027
step:8K smpl:182K ep:732 epch:12.20 loss:0.030 grdn:5.540 lr:3.2e-05 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.036 losses_after_in_ep_bound:0.027 losses_after_rm_padding:0.027
step:8K smpl:185K ep:741 epch:12.36 loss:0.028 grdn:4.944 lr:3.1e-05 updt_s:0.461 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.034 losses_after_in_ep_bound:0.025 losses_after_rm_padding:0.025
step:8K smpl:187K ep:751 epch:12.52 loss:0.028 grdn:5.533 lr:3.0e-05 updt_s:0.462 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.035 losses_after_in_ep_bound:0.026 losses_after_rm_padding:0.026
step:8K smpl:190K ep:761 epch:12.68 loss:0.027 grdn:5.334 lr:2.9e-05 updt_s:0.461 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.034 losses_after_in_ep_bound:0.024 losses_after_rm_padding:0.024
step:8K smpl:192K ep:770 epch:12.84 loss:0.026 grdn:5.318 lr:2.7e-05 updt_s:0.460 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.033 losses_after_in_ep_bound:0.024 losses_after_rm_padding:0.024
step:8K smpl:194K ep:780 epch:13.00 loss:0.027 grdn:5.655 lr:2.6e-05 updt_s:0.459 data_s:0.005 smp/s:52 mem_gb:6.29 losses_after_forward:0.033 losses_after_in_ep_bound:0.025 losses_after_rm_padding:0.025
step:8K smpl:197K ep:790 epch:13.16 loss:0.027 grdn:5.749 lr:2.5e-05 updt_s:0.457 data_s:0.018 smp/s:51 mem_gb:6.24 losses_after_forward:0.033 losses_after_in_ep_bound:0.025 losses_after_rm_padding:0.025
step:8K smpl:199K ep:799 epch:13.32 loss:0.026 grdn:5.220 lr:2.4e-05 updt_s:0.461 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:0.032 losses_after_in_ep_bound:0.024 losses_after_rm_padding:0.024
